NEUT0|"""APOP select biotechnology."
NEUT1092|After hours the member IO.
NEUT1093|Are Oot getting a pop here?
NEUT1094|Citron research about to speak now.
BEAR1095|NIH director Collins says vaccine hesitancy could cause Corona virus pandemic to go on.
NEUT1096|Much longer than it needs to.
NEUT1097|That in a Fox News interview.
NEUT1098|Colin says each even people who've had COVID-19 should get vaccinated.
NEUT1099|ASEAN AstraZeneca at EU summit.
BEAR1100|Italy's Draghi says European citizens feel they've been deceived by some pharmaceutical companies.
NEUT1101|LMB Limbach Holdings.
NEUT1102|Reporting 70.
NEUT1103|Two cents.
NEUT1104|We have 130.4 million for Lima.
NEUT1105|Michael Bravo.
NEUT1106|May not compare with the penny.
BEAR1107|Loss that was expected on Limbach revenue.
NEUT1108|135.6 million estimate.
NEUT1109|On LMB.
NEUT1110|Dividend and buyback limits to end June 30th for most banks.
NEUT1111|That from the Fed.
NEUT1112|LMB Limbach Holdings adjusted is.
NEUT1113|So at $0.05 for the quarter, $0.72 for the full year on LMB.
NEUT1114|BOR, Victor OR reporting it's.
NEUT1115|Results for FY20 20.
BEAR1116|Company reported a net loss of 43.3 million for the year ending December 31st versus 10.8 million and a prior Europe.
NEUT1117|That's Victor OR VR.
NEUT1118|Andrew, left, of Citron Research, as he's not involved in GameStop or Bitcoin.
NEUT1119|Root root root root root.
NEUT1120|Rude.
BEAR1121|Citron says that auto insurer root stock is undervalued, caused company and misunderstood short shares spiking to the highs now 1350.
NEUT1122|Letter F Ford says.
BEAR1123|Dearborn Truck Plant where F-150 truck is built will be idled Friday through Sunday due to global chip shortage.
BEAR1124|Says latest action is part of its prior forecast that the chip shortage would shave 2021 profits by one to two and a half billion dollars.
NEUT1125|That's letter F Ford.
NEUT1126|Germany's Merkel says we are in the third covid wave, but also in a new pandemic that is dominated by the new variance.
NEUT1127|NEXT next decade, Oxy Low Carbon venture signed term sheet for CO2 transportation and storage in South Texas.
BULL1128|That's NEXT and Extr shares are getting a pop on that.
BEAR1129|Next, eating 240 nine $2.24 up $0.29 on that press release.
BEAR1130|NEXT STSASTSA, Satsuma farmer, reporting a loss of $0.72.
BEAR1131|The estimate was a loss of $0.45 for Sandy Tango Sandy Alpha.
NEUT1132|STSA CSTL Castle Biosciences announcing publication demonstrating dermatologist or increasing recently integrating the decision DX Melanoma into Melanoma clinical management decisions that Charlie Sandy TL C STL.
NEUT1133|As Jayar Shore Communications, Sandy Jr. Show communications.
NEUT1134|Actually announcing that they'll be reporting on.
NEUT1135|April 14th as Jr. That's Andy Jr. Epsilon Energy Ticker EP SN.
BEAR1136|Reporting fiscal year 2020 sales of 24.42 million versus 26.69 million year over year.
NEUT1137|That's EPS N. After limited ticker AFY a.
NEUT1138|Announces magician's acquisition.
BULL1139|Afia announced the acquisition of 100% of the total share capital of Medicean, a leading Brazilian healthcare technology company.
NEUT1140|The aggregate purchase price.
NEUT1141|Is 5.6 million rials?
NEUT1142|That is.
NEUT1143|Afy a. I am MPINIMMP.
NEUT1144|I am MPIMMP, Pfizer, ticker PFE.
NEUT1145|Pfizer's SVP of Clinical Research tells NBC Nightly News quote if all goes as planned, the vaccine for 12 to 15 year olds could be ready as soon as the start of the next school year.
NEUT1146|That in the interview.
NEUT1147|On NBC Nightly News, ticker PFE.
NEUT1148|I am MP.
NEUT1149|I am MPIMMPIMMPIMMP.
BULL1150|Tesla ticker TSLA shares quiet after hours as Moody's upgrades companies ratings from B2 to BA3 and Outlook raised positive.
NEUT1151|"That's TSLA."""
